;devTeam;key;lastMove;observationDate;sp;type
379;Team S;TUH-24;03/07/2019;2020-05-22 15:04:30.182284;2.0;Story
380;Team S;TUH-22;03/07/2019;2020-05-22 15:04:30.182284;5.0;Story
381;Team S;TUH-21;02/07/2019;2020-05-22 15:04:30.182284;3.0;Story
382;Team S;TUH-20;02/07/2019;2020-05-22 15:04:30.182284;1.0;Story
383;Team O;TUH-14;19/06/2019;2020-05-22 15:04:30.182284;1.0;Ops Task
384;Team O;TUH-13;03/07/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
385;Team O;TUH-11;14/06/2019;2020-05-22 15:04:30.182284;2.0;Ops Task
386;Team O;TUH-5;07/06/2019;2020-05-22 15:04:30.182284;1.0;Ops Task
387;Team O;TUH-4;07/06/2019;2020-05-22 15:04:30.182284;0.5;Ops Task
388;Team O;TUH-3;07/06/2019;2020-05-22 15:04:30.182284;0.5;Ops Task
