,daysInStatus,devTeam,end,key,observationDate,sp,start,status,type
2852,160.17,Team C,2019-12-18,KEY-532,2020-05-18 15:23:26.721638,3.0,2019-12-18,Open,Story
2853,7.0,Team C,2019-12-18,KEY-532,2020-05-18 15:23:26.721638,3.0,2019-12-18,In Analysis,Story
2854,2.13,Team C,2019-12-18,KEY-532,2020-05-18 15:23:26.721638,3.0,2019-12-18,In Refinement,Story
2855,12.78,Team C,2019-12-18,KEY-532,2020-05-18 15:23:26.721638,3.0,2019-12-18,Ready for Development,Story
2856,5.16,Team C,2019-12-18,KEY-532,2020-05-18 15:23:26.721638,3.0,2019-12-18,In Development,Story
2857,0.87,Team C,2019-12-18,KEY-532,2020-05-18 15:23:26.721638,3.0,2019-12-18,Code Review,Story
2858,0.01,Team C,2019-12-18,KEY-532,2020-05-18 15:23:26.721638,3.0,2019-12-18,Merged,Story
2859,0.15,Team C,2019-12-18,KEY-532,2020-05-18 15:23:26.721638,3.0,2019-12-18,Ready to Test,Story
2860,0.82,Team C,2019-12-18,KEY-532,2020-05-18 15:23:26.721638,3.0,2019-12-18,In Testing,Story
2861,0.37,Team C,2019-12-18,KEY-532,2020-05-18 15:23:26.721638,3.0,2019-12-18,Ready For Signoff,Story
2862,0.0,Team C,2019-12-18,KEY-532,2020-05-18 15:23:26.721638,3.0,2019-12-18,Done,Story
2863,146.35,Team B,2019-11-05,KEY-531,2020-05-18 15:23:26.721638,0.0,2019-11-05,Open,Story
2864,0.0,Team B,2019-11-05,KEY-531,2020-05-18 15:23:26.721638,0.0,2019-11-05,Withdrawn,Story
2865,112.16,Team B,2019-10-02,KEY-529,2020-05-18 15:23:26.721638,0.0,2019-10-02,Open,Story
2866,0.0,Team B,2019-10-02,KEY-529,2020-05-18 15:23:26.721638,0.0,2019-10-02,Withdrawn,Story
2867,112.16,Team B,2019-10-02,KEY-528,2020-05-18 15:23:26.721638,0.0,2019-10-02,Open,Story
2868,0.0,Team B,2019-10-02,KEY-528,2020-05-18 15:23:26.721638,0.0,2019-10-02,Withdrawn,Story
2869,112.16,Team B,2019-10-02,KEY-527,2020-05-18 15:23:26.721638,0.0,2019-10-02,Open,Story
2870,0.0,Team B,2019-10-02,KEY-527,2020-05-18 15:23:26.721638,0.0,2019-10-02,Withdrawn,Story
2871,147.22,Team C,2019-11-06,KEY-521,2020-05-18 15:23:26.721638,0.0,2019-11-06,Open,Story
2872,0.0,Team C,2019-11-06,KEY-521,2020-05-18 15:23:26.721638,0.0,2019-11-06,Withdrawn,Story
2873,154.2,Team C,2019-11-13,KEY-519,2020-05-18 15:23:26.721638,0.0,2019-11-13,Open,Story
2874,0.0,Team C,2019-11-13,KEY-519,2020-05-18 15:23:26.721638,0.0,2019-11-13,Withdrawn,Story
2875,148.17,Team C,2019-11-07,KEY-518,2020-05-18 15:23:26.721638,0.0,2019-11-07,Open,Story
2876,0.0,Team C,2019-11-07,KEY-518,2020-05-18 15:23:26.721638,0.0,2019-11-07,Withdrawn,Story
2877,148.17,Team C,2019-11-07,KEY-517,2020-05-18 15:23:26.721638,0.0,2019-11-07,Open,Story
2878,0.0,Team C,2019-11-07,KEY-517,2020-05-18 15:23:26.721638,0.0,2019-11-07,Withdrawn,Story
2879,148.17,Team C,2019-11-07,KEY-516,2020-05-18 15:23:26.721638,0.0,2019-11-07,Open,Story
2880,0.0,Team C,2019-11-07,KEY-516,2020-05-18 15:23:26.721638,0.0,2019-11-07,Withdrawn,Story
2881,147.22,Team C,2019-11-06,KEY-514,2020-05-18 15:23:26.721638,0.0,2019-11-06,Open,Story
2882,0.0,Team C,2019-11-06,KEY-514,2020-05-18 15:23:26.721638,0.0,2019-11-06,Withdrawn,Story
2883,147.22,Team C,2019-11-06,KEY-513,2020-05-18 15:23:26.721638,0.0,2019-11-06,Open,Story
2884,0.0,Team C,2019-11-06,KEY-513,2020-05-18 15:23:26.721638,0.0,2019-11-06,Withdrawn,Story
2885,145.35,Team B,2019-11-13,KEY-512,2020-05-18 15:23:26.721638,0.0,2019-11-13,Open,Story
2886,8.77,Team B,2019-11-13,KEY-512,2020-05-18 15:23:26.721638,0.0,2019-11-13,Withdrawn,Story
2887,154.12,Team B,2019-11-13,KEY-511,2020-05-18 15:23:26.721638,0.0,2019-11-13,Open,Story
2888,0.0,Team B,2019-11-13,KEY-511,2020-05-18 15:23:26.721638,0.0,2019-11-13,Withdrawn,Story
2889,145.35,Team B,2019-11-13,KEY-510,2020-05-18 15:23:26.721638,0.0,2019-11-13,Open,Story
2890,8.77,Team B,2019-11-13,KEY-510,2020-05-18 15:23:26.721638,0.0,2019-11-13,Withdrawn,Story
2891,145.35,Team B,2019-11-13,KEY-509,2020-05-18 15:23:26.721638,0.0,2019-11-13,Open,Story
2892,8.77,Team B,2019-11-13,KEY-509,2020-05-18 15:23:26.721638,0.0,2019-11-13,Withdrawn,Story
2893,145.35,Team B,2019-11-13,KEY-508,2020-05-18 15:23:26.721638,0.0,2019-11-13,Open,Story
2894,8.77,Team B,2019-11-13,KEY-508,2020-05-18 15:23:26.721638,0.0,2019-11-13,Withdrawn,Story
2895,145.36,Team B,2019-11-04,KEY-499,2020-05-18 15:23:26.721638,0.0,2019-11-04,Open,Story
2896,0.0,Team B,2019-11-04,KEY-499,2020-05-18 15:23:26.721638,0.0,2019-11-04,Withdrawn,Story
2897,145.36,Team B,2019-11-04,KEY-498,2020-05-18 15:23:26.721638,0.0,2019-11-04,Open,Story
2898,0.0,Team B,2019-11-04,KEY-498,2020-05-18 15:23:26.721638,0.0,2019-11-04,Withdrawn,Story
2899,145.36,Team B,2019-11-04,KEY-497,2020-05-18 15:23:26.721638,0.0,2019-11-04,Open,Story
2900,0.0,Team B,2019-11-04,KEY-497,2020-05-18 15:23:26.721638,0.0,2019-11-04,Withdrawn,Story
2901,145.36,Team B,2019-11-04,KEY-496,2020-05-18 15:23:26.721638,0.0,2019-11-04,Open,Story
2902,0.0,Team B,2019-11-04,KEY-496,2020-05-18 15:23:26.721638,0.0,2019-11-04,Withdrawn,Story
2903,145.36,Team B,2019-11-04,KEY-495,2020-05-18 15:23:26.721638,0.0,2019-11-04,Open,Story
2904,0.0,Team B,2019-11-04,KEY-495,2020-05-18 15:23:26.721638,0.0,2019-11-04,Code Review,Story
2905,0.0,Team B,2019-11-04,KEY-495,2020-05-18 15:23:26.721638,0.0,2019-11-04,Withdrawn,Story
2906,145.34,Team B,2019-11-04,KEY-491,2020-05-18 15:23:26.721638,0.0,2019-11-04,Open,Story
2907,0.0,Team B,2019-11-04,KEY-491,2020-05-18 15:23:26.721638,0.0,2019-11-04,Withdrawn,Story
2908,145.34,Team B,2019-11-04,KEY-490,2020-05-18 15:23:26.721638,0.0,2019-11-04,Open,Story
2909,0.0,Team B,2019-11-04,KEY-490,2020-05-18 15:23:26.721638,0.0,2019-11-04,Withdrawn,Story
2910,145.34,Team B,2019-11-04,KEY-489,2020-05-18 15:23:26.721638,0.0,2019-11-04,Open,Story
2911,0.0,Team B,2019-11-04,KEY-489,2020-05-18 15:23:26.721638,0.0,2019-11-04,Withdrawn,Story
2912,145.34,Team B,2019-11-04,KEY-488,2020-05-18 15:23:26.721638,0.0,2019-11-04,Open,Story
2913,0.0,Team B,2019-11-04,KEY-488,2020-05-18 15:23:26.721638,0.0,2019-11-04,Withdrawn,Story
2914,145.33,Team B,2019-11-04,KEY-487,2020-05-18 15:23:26.721638,0.0,2019-11-04,Open,Story
2915,0.0,Team B,2019-11-04,KEY-487,2020-05-18 15:23:26.721638,0.0,2019-11-04,Withdrawn,Story
2916,145.33,Team B,2019-11-04,KEY-486,2020-05-18 15:23:26.721638,0.0,2019-11-04,Open,Story
2917,0.0,Team B,2019-11-04,KEY-486,2020-05-18 15:23:26.721638,0.0,2019-11-04,Withdrawn,Story
2918,145.33,Team B,2019-11-04,KEY-485,2020-05-18 15:23:26.721638,0.0,2019-11-04,Open,Story
2919,0.0,Team B,2019-11-04,KEY-485,2020-05-18 15:23:26.721638,0.0,2019-11-04,Withdrawn,Story
2920,145.33,Team B,2019-11-04,KEY-484,2020-05-18 15:23:26.721638,0.0,2019-11-04,Open,Story
2921,0.0,Team B,2019-11-04,KEY-484,2020-05-18 15:23:26.721638,0.0,2019-11-04,Withdrawn,Story
2922,145.33,Team B,2019-11-04,KEY-483,2020-05-18 15:23:26.721638,0.0,2019-11-04,Open,Story
2923,0.0,Team B,2019-11-04,KEY-483,2020-05-18 15:23:26.721638,0.0,2019-11-04,Withdrawn,Story
2924,145.35,Team B,2019-11-04,KEY-474,2020-05-18 15:23:26.721638,0.0,2019-11-04,Open,Story
2925,0.0,Team B,2019-11-04,KEY-474,2020-05-18 15:23:26.721638,0.0,2019-11-04,Withdrawn,Story
2926,145.35,Team B,2019-11-04,KEY-473,2020-05-18 15:23:26.721638,0.0,2019-11-04,Open,Story
2927,0.0,Team B,2019-11-04,KEY-473,2020-05-18 15:23:26.721638,0.0,2019-11-04,Withdrawn,Story
2928,145.35,Team B,2019-11-04,KEY-472,2020-05-18 15:23:26.721638,0.0,2019-11-04,Open,Story
2929,0.0,Team B,2019-11-04,KEY-472,2020-05-18 15:23:26.721638,0.0,2019-11-04,Withdrawn,Story
2930,145.35,Team B,2019-11-04,KEY-471,2020-05-18 15:23:26.721638,0.0,2019-11-04,Open,Story
2931,0.0,Team B,2019-11-04,KEY-471,2020-05-18 15:23:26.721638,0.0,2019-11-04,Withdrawn,Story
2932,145.35,Team B,2019-11-04,KEY-470,2020-05-18 15:23:26.721638,0.0,2019-11-04,Open,Story
2933,0.0,Team B,2019-11-04,KEY-470,2020-05-18 15:23:26.721638,0.0,2019-11-04,Withdrawn,Story
2934,145.35,Team B,2019-11-04,KEY-469,2020-05-18 15:23:26.721638,0.0,2019-11-04,Open,Story
2935,0.0,Team B,2019-11-04,KEY-469,2020-05-18 15:23:26.721638,0.0,2019-11-04,Withdrawn,Story
2936,145.35,Team B,2019-11-04,KEY-468,2020-05-18 15:23:26.721638,0.0,2019-11-04,Open,Story
2937,0.0,Team B,2019-11-04,KEY-468,2020-05-18 15:23:26.721638,0.0,2019-11-04,Withdrawn,Story
2938,145.35,Team B,2019-11-04,KEY-467,2020-05-18 15:23:26.721638,0.0,2019-11-04,Open,Story
2939,0.0,Team B,2019-11-04,KEY-467,2020-05-18 15:23:26.721638,0.0,2019-11-04,Withdrawn,Story
2940,168.34,Team B,2019-11-27,KEY-465,2020-05-18 15:23:26.721638,0.0,2019-11-27,Open,Story
2941,0.0,Team B,2019-11-27,KEY-465,2020-05-18 15:23:26.721638,0.0,2019-11-27,Withdrawn,Story
2942,181.11,Team C,2020-01-09,KEY-461,2020-05-18 15:23:26.721638,0.0,2020-01-09,Open,Story
2943,30.19,Team C,2020-01-09,KEY-461,2020-05-18 15:23:26.721638,0.0,2020-01-09,In Refinement,Story
2944,0.0,Team C,2020-01-09,KEY-461,2020-05-18 15:23:26.721638,0.0,2020-01-09,Withdrawn,Story
2945,168.34,Team B,2019-11-27,KEY-456,2020-05-18 15:23:26.721638,0.0,2019-11-27,Open,Story
2946,0.0,Team B,2019-11-27,KEY-456,2020-05-18 15:23:26.721638,0.0,2019-11-27,Withdrawn,Story
2947,168.34,Team B,2019-11-27,KEY-455,2020-05-18 15:23:26.721638,0.0,2019-11-27,Open,Story
2948,0.0,Team B,2019-11-27,KEY-455,2020-05-18 15:23:26.721638,0.0,2019-11-27,Withdrawn,Story
2949,168.34,Team B,2019-11-27,KEY-452,2020-05-18 15:23:26.721638,0.0,2019-11-27,Open,Story
2950,0.0,Team B,2019-11-27,KEY-452,2020-05-18 15:23:26.721638,0.0,2019-11-27,Withdrawn,Story
2951,168.34,Team B,2019-11-27,KEY-451,2020-05-18 15:23:26.721638,0.0,2019-11-27,Open,Story
2952,0.0,Team B,2019-11-27,KEY-451,2020-05-18 15:23:26.721638,0.0,2019-11-27,Withdrawn,Story
2953,168.34,Team B,2019-11-27,KEY-450,2020-05-18 15:23:26.721638,0.0,2019-11-27,Open,Story
2954,0.0,Team B,2019-11-27,KEY-450,2020-05-18 15:23:26.721638,0.0,2019-11-27,Withdrawn,Story
2955,62.71,Team C,2019-08-13,KEY-437,2020-05-18 15:23:26.721638,0.0,2019-08-13,Open,Story
2956,0.0,Team C,2019-08-13,KEY-437,2020-05-18 15:23:26.721638,0.0,2019-08-13,Withdrawn,Story
2957,169.09,Team C,2019-11-27,KEY-436,2020-05-18 15:23:26.721638,0.0,2019-11-27,Open,Story
2958,0.0,Team C,2019-11-27,KEY-436,2020-05-18 15:23:26.721638,0.0,2019-11-27,Withdrawn,Story
